student1,student2,rule1_violations,rule1_prob,rule2_violation,rule2_prob,rule3_violation,rule3_prob,overall_prob
23,18,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 4 questions ['q1', 'q3', 'q4', 'q5'] have the identical answer. ",1.0,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.6
12,8,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
24,25,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
10,15,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
10,19,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
10,16,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
3,12,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
3,8,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
5,4,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
5,20,"Out of 5same questions, 0 questions [] are answered within 60 seconds time difference. ",0.0,"Out of 5same questions, 3 questions ['q1', 'q3', 'q5'] have the identical answer. ",0.7499999999999999,"Out of 5same questions, 5 questions are answered in the same order. Answering orders are ['q1', 'q2', 'q3', 'q4', 'q5'] and ['q1', 'q2', 'q3', 'q4', 'q5'] respectively.",1.0,0.5249999999999999
