,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,10,,2021-02-05T22:55:14-08,gray3,2021-02-06T06:55:14.458Z,Begin,2021-02-05 22:55:14 (PST),,,,,,,,
1,1,10,,2021-02-05T22:55:14-08,green1,2021-02-06T06:55:14.496Z,View assessment overview,2021-02-05 22:55:14 (PST),,,,,,,,
2,2,10,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'fi2zb6'}",2021-02-05T22:56:31-08,gray1,2021-02-06T06:56:31.774Z,New variant,2021-02-05 22:56:31 (PST),250259.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,170957.0,1.0
3,3,10,,2021-02-05T22:56:31-08,green3,2021-02-06T06:56:31.846Z,View variant,2021-02-05 22:56:31 (PST),250259.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,170957.0,1.0
4,4,10,"{'correct': True, 'submitted_answer': {}}",2021-02-05T22:57:36-08,blue3,2021-02-06T06:57:36.358Z,Submission,2021-02-05 22:57:36 (PST),250259.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,308663.0,170957.0,1.0
5,5,10,,2021-02-05T22:57:36-08,green3,2021-02-06T06:57:36.476Z,View variant,2021-02-05 22:57:36 (PST),250259.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,170957.0,1.0
6,6,10,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'gssqx7'}",2021-02-05T22:57:39-08,gray1,2021-02-06T06:57:39.229Z,New variant,2021-02-05 22:57:39 (PST),250260.0,2.0,PLEDGE,1046.0,2.0,,170960.0,1.0
7,7,10,,2021-02-05T22:57:39-08,green3,2021-02-06T06:57:39.283Z,View variant,2021-02-05 22:57:39 (PST),250260.0,2.0,PLEDGE,1046.0,2.0,,170960.0,1.0
8,8,10,"{'correct': True, 'submitted_answer': {'pledge': 'Cesar Adrian Montufar'}}",2021-02-05T22:58:16-08,blue3,2021-02-06T06:58:16.718Z,Submission,2021-02-05 22:58:16 (PST),250260.0,2.0,PLEDGE,1046.0,2.0,308664.0,170960.0,1.0
9,9,10,,2021-02-05T22:58:16-08,green3,2021-02-06T06:58:16.818Z,View variant,2021-02-05 22:58:16 (PST),250260.0,2.0,PLEDGE,1046.0,2.0,,170960.0,1.0
10,10,10,"{'params': {'0': [{'key': 'a', 'html': 'here and there'}, {'key': 'b', 'html': 'up and down'}, {'key': 'c', 'html': 'True and False (select this one)'}, {'key': 'd', 'html': 'easy or hard'}, {'key': 'e', 'html': 'today or tomorrow'}]}, 'options': {}, 'true_answer': {'0': {'key': 'c', 'html': 'True and False (select this one)'}}, 'variant_seed': 'feqgl5'}",2021-02-05T22:58:19-08,gray1,2021-02-06T06:58:19.578Z,New variant,2021-02-05 22:58:19 (PST),250261.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,170961.0,1.0
11,11,10,,2021-02-05T22:58:19-08,green3,2021-02-06T06:58:19.637Z,View variant,2021-02-05 22:58:19 (PST),250261.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,170961.0,1.0
12,12,10,"{'correct': True, 'submitted_answer': {'0': 'c'}}",2021-02-05T22:58:35-08,blue3,2021-02-06T06:58:35.703Z,Submission,2021-02-05 22:58:35 (PST),250261.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,308665.0,170961.0,1.0
13,13,10,,2021-02-05T22:58:35-08,green3,2021-02-06T06:58:35.817Z,View variant,2021-02-05 22:58:35 (PST),250261.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,170961.0,1.0
14,14,10,"{'params': {'0': [{'key': 'a', 'html': 'Correct'}, {'key': 'b', 'html': 'Incorrect'}, {'key': 'c', 'html': 'Incorrect'}, {'key': 'd', 'html': 'Incorrect'}, {'key': 'e', 'html': 'Correct'}]}, 'options': {}, 'true_answer': {'0': [{'key': 'a', 'html': 'Correct'}, {'key': 'e', 'html': 'Correct'}]}, 'variant_seed': '1njzk57'}",2021-02-05T22:58:39-08,gray1,2021-02-06T06:58:39.057Z,New variant,2021-02-05 22:58:39 (PST),250262.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,170962.0,1.0
15,15,10,,2021-02-05T22:58:39-08,green3,2021-02-06T06:58:39.114Z,View variant,2021-02-05 22:58:39 (PST),250262.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,170962.0,1.0
16,16,10,"{'correct': True, 'submitted_answer': {'0': ['a', 'e']}}",2021-02-05T22:58:46-08,blue3,2021-02-06T06:58:46.880Z,Submission,2021-02-05 22:58:46 (PST),250262.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,308666.0,170962.0,1.0
17,17,10,,2021-02-05T22:58:46-08,green3,2021-02-06T06:58:46.975Z,View variant,2021-02-05 22:58:46 (PST),250262.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,170962.0,1.0
18,18,10,"{'params': {}, 'options': {}, 'true_answer': {'ok': 'ok'}, 'variant_seed': '1xgw4s6'}",2021-02-05T22:58:48-08,gray1,2021-02-06T06:58:48.208Z,New variant,2021-02-05 22:58:48 (PST),250263.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,170963.0,1.0
19,19,10,,2021-02-05T22:58:48-08,green3,2021-02-06T06:58:48.260Z,View variant,2021-02-05 22:58:48 (PST),250263.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,170963.0,1.0
20,20,10,"{'correct': True, 'submitted_answer': {'ok': 'ok'}}",2021-02-05T22:58:53-08,blue3,2021-02-06T06:58:53.560Z,Submission,2021-02-05 22:58:53 (PST),250263.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,308667.0,170963.0,1.0
21,21,10,,2021-02-05T22:58:53-08,green3,2021-02-06T06:58:53.654Z,View variant,2021-02-05 22:58:53 (PST),250263.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,170963.0,1.0
22,22,10,,2021-02-05T22:58:59-08,green1,2021-02-06T06:58:59.510Z,View assessment overview,2021-02-05 22:58:59 (PST),,,,,,,,
23,23,10,"{'points': 0, 'correct': True, 'max_points': 0, 'score_perc': 0}",2021-02-05T22:59:07-08,brown1,2021-02-06T06:59:07.853Z,Score question,2021-02-05 22:59:07 (PST),250259.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,170957.0,1.0
24,24,10,"{'points': 0, 'correct': True, 'max_points': 0, 'score_perc': 0}",2021-02-05T22:59:07-08,brown1,2021-02-06T06:59:07.853Z,Score question,2021-02-05 22:59:07 (PST),250260.0,2.0,PLEDGE,1046.0,2.0,,170960.0,1.0
25,25,10,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-05T22:59:07-08,brown1,2021-02-06T06:59:07.853Z,Score question,2021-02-05 22:59:07 (PST),250261.0,3.0,PL-demo/demo-multiple-choice,1049.0,3.0,,170961.0,1.0
26,26,10,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-05T22:59:07-08,brown1,2021-02-06T06:59:07.853Z,Score question,2021-02-05 22:59:07 (PST),250262.0,4.0,PL-demo/demo-checkbox,1048.0,4.0,,170962.0,1.0
27,27,10,"{'points': 1, 'correct': True, 'max_points': 1, 'score_perc': 100}",2021-02-05T22:59:07-08,brown1,2021-02-06T06:59:07.853Z,Score question,2021-02-05 22:59:07 (PST),250263.0,5.0,PL-demo/demo-fill-in-blank,1051.0,5.0,,170963.0,1.0
28,28,10,"{'points': 0, 'max_points': 3, 'score_perc': 0}",2021-02-05T22:59:07-08,brown3,2021-02-06T06:59:07.853Z,Score assessment,2021-02-05 22:59:07 (PST),,,,,,,,
29,29,10,"{'points': 0, 'max_points': 3, 'score_perc': 0}",2021-02-05T22:59:07-08,brown3,2021-02-06T06:59:07.853Z,Score assessment,2021-02-05 22:59:07 (PST),,,,,,,,
30,30,10,"{'points': 1, 'max_points': 3, 'score_perc': 33.3333333333333}",2021-02-05T22:59:07-08,brown3,2021-02-06T06:59:07.853Z,Score assessment,2021-02-05 22:59:07 (PST),,,,,,,,
31,31,10,"{'points': 2, 'max_points': 3, 'score_perc': 66.6666666666667}",2021-02-05T22:59:07-08,brown3,2021-02-06T06:59:07.853Z,Score assessment,2021-02-05 22:59:07 (PST),,,,,,,,
32,32,10,"{'points': 3, 'max_points': 3, 'score_perc': 100}",2021-02-05T22:59:07-08,brown3,2021-02-06T06:59:07.853Z,Score assessment,2021-02-05 22:59:07 (PST),,,,,,,,
33,33,10,,2021-02-05T22:59:07-08,gray3,2021-02-06T06:59:07.853Z,Close,2021-02-05 22:59:07 (PST),,,,,,,,
34,34,10,,2021-02-05T22:59:08-08,green1,2021-02-06T06:59:08.003Z,View assessment overview,2021-02-05 22:59:08 (PST),,,,,,,,
