"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
